OBJECTID *;ESTADO_SUPERFICIAL;FECHA_ESTADO;CalCodigo *
161;BUENO;31/12/2024;447768
162;BUENO;31/12/2024;156347
163;SATISFACTORIO;31/12/2024;176706
164;SATISFACTORIO;31/12/2024;91012598
165;BUENO;31/12/2024;294138
166;SATISFACTORIO;31/12/2024;351567
167;SATISFACTORIO;31/12/2024;179632
168;BUENO;31/12/2024;363133
169;BUENO;31/12/2024;355256
170;BUENO;31/12/2024;140549
171;BUENO;31/12/2024;355435
172;SATISFACTORIO;31/12/2024;370442
173;SATISFACTORIO;31/12/2024;187221
174;SATISFACTORIO;31/12/2024;471383
175;SATISFACTORIO;31/12/2024;517546
176;BUENO;31/12/2024;471378
177;GRAVE;31/12/2024;521035
178;GRAVE;31/12/2024;478717
179;BUENO;31/12/2024;465679
180;GRAVE;31/12/2024;176872
181;GRAVE;31/12/2024;91021678
182;SATISFACTORIO;31/12/2024;91011579
183;BUENO;31/12/2024;150356
184;GRAVE;31/12/2024;91021853
185;SATISFACTORIO;31/12/2024;141420
186;GRAVE;31/12/2024;816825
187;SATISFACTORIO;31/12/2024;159619
188;SATISFACTORIO;31/12/2024;417632
189;GRAVE;31/12/2024;350315
190;SATISFACTORIO;31/12/2024;414056
191;SATISFACTORIO;31/12/2024;187788
192;GRAVE;31/12/2024;91023575
193;BUENO;31/12/2024;291385
194;GRAVE;31/12/2024;91016548
195;BUENO;31/12/2024;150997
196;SATISFACTORIO;31/12/2024;187183
197;BUENO;31/12/2024;154334
198;SATISFACTORIO;31/12/2024;176237
199;SATISFACTORIO;31/12/2024;451987
200;JUSTO;31/12/2024;167817
201;BUENO;31/12/2024;900767
202;BUENO;31/12/2024;153551
203;SATISFACTORIO;31/12/2024;463912
204;BUENO;31/12/2024;154520
205;BUENO;31/12/2024;353359
206;SATISFACTORIO;31/12/2024;147938
207;SATISFACTORIO;31/12/2024;169649
208;SATISFACTORIO;31/12/2024;515891
209;BUENO;31/12/2024;169755
210;SATISFACTORIO;31/12/2024;367723
211;BUENO;31/12/2024;210149
212;SATISFACTORIO;31/12/2024;159613
213;BUENO;31/12/2024;150790
214;SATISFACTORIO;31/12/2024;157650
215;BUENO;31/12/2024;368223
216;SATISFACTORIO;31/12/2024;176184
217;BUENO;31/12/2024;452754
218;SATISFACTORIO;31/12/2024;184120
219;BUENO;31/12/2024;472471
220;SATISFACTORIO;31/12/2024;387729
221;BUENO;31/12/2024;303170
222;BUENO;31/12/2024;422119
223;BUENO;31/12/2024;154665
224;SATISFACTORIO;31/12/2024;464908
225;BUENO;31/12/2024;153455
226;BUENO;31/12/2024;91014160
227;BUENO;31/12/2024;204555
228;SATISFACTORIO;31/12/2024;175122
229;SATISFACTORIO;31/12/2024;471862
230;SATISFACTORIO;31/12/2024;383427
231;SATISFACTORIO;31/12/2024;357546
232;BUENO;31/12/2024;183621
233;BUENO;31/12/2024;362763
234;GRAVE;31/12/2024;361431
235;GRAVE;31/12/2024;464635
236;BUENO;31/12/2024;419428
237;SATISFACTORIO;31/12/2024;142288
238;JUSTO;31/12/2024;154983
239;GRAVE;31/12/2024;91022938
240;SATISFACTORIO;31/12/2024;146236
241;GRAVE;31/12/2024;91016874
